event_id,user_id,event_time,event_type,session_id,feature_name
1,1,2024-12-11 04:41:00,app_visit,1,Profile
2,1,2024-12-11 04:13:00,add_to_cart,1,Search
3,1,2024-12-25 19:38:00,app_visit,2,Search
4,1,2024-12-25 19:40:00,signup,2,Checkout
5,1,2024-12-25 20:11:00,onboarding_complete,2,Checkout
6,1,2024-12-25 19:29:00,search,2,Checkout
7,1,2024-12-25 19:51:00,purchase,2,Checkout
8,1,2024-12-11 23:13:00,app_visit,3,Profile
9,1,2024-12-11 23:43:00,signup,3,Recommendations
10,1,2024-12-11 23:19:00,onboarding_complete,3,Checkout
11,1,2024-12-11 23:23:00,search,3,Recommendations
12,1,2024-12-11 22:56:00,add_to_cart,3,Recommendations
13,1,2024-12-29 04:36:00,app_visit,4,Checkout
14,1,2024-12-29 04:13:00,signup,4,Recommendations
15,1,2024-12-29 04:18:00,search,4,Profile
16,1,2024-12-29 04:54:00,add_to_cart,4,Recommendations
17,1,2024-12-29 04:49:00,purchase,4,Notifications
18,1,2024-12-29 04:10:00,uninstall,4,Profile
19,2,2025-06-14 00:19:00,app_visit,5,Notifications
20,2,2025-06-13 23:44:00,search,5,Recommendations
21,2,2025-06-14 00:36:00,add_to_cart,5,Checkout
22,2,2025-06-22 21:55:00,app_visit,6,Search
23,2,2025-06-22 22:05:00,search,6,Checkout
24,2,2025-04-28 23:52:00,app_visit,7,Search
25,2,2025-04-28 23:30:00,signup,7,Search
26,2,2025-04-29 00:00:00,onboarding_complete,7,Profile
27,2,2025-04-29 00:07:00,search,7,Notifications
28,2,2025-04-06 07:19:00,app_visit,8,Notifications
29,2,2025-04-06 07:38:00,search,8,Checkout
30,3,2024-07-12 20:27:00,app_visit,9,Recommendations
31,3,2024-07-12 19:57:00,signup,9,Notifications
32,3,2024-07-12 20:21:00,onboarding_complete,9,Recommendations
33,3,2024-07-12 20:02:00,search,9,Profile
34,3,2024-07-12 20:07:00,add_to_cart,9,Profile
35,3,2024-07-23 10:24:00,app_visit,10,Checkout
36,3,2024-07-23 09:40:00,signup,10,Recommendations
37,3,2024-07-23 10:16:00,search,10,Profile
38,3,2024-07-23 10:13:00,purchase,10,Search
39,4,2024-10-21 18:55:00,app_visit,11,Search
40,4,2024-10-21 19:35:00,signup,11,Search
41,4,2024-10-21 19:11:00,search,11,Search
42,4,2024-10-21 19:38:00,add_to_cart,11,Profile
43,5,2024-03-26 20:13:00,app_visit,12,Notifications
44,5,2024-03-26 19:53:00,signup,12,Recommendations
45,5,2024-03-26 20:36:00,onboarding_complete,12,Profile
46,5,2024-03-26 20:13:00,search,12,Profile
47,5,2024-04-28 11:20:00,app_visit,13,Notifications
48,5,2024-04-28 11:23:00,signup,13,Notifications
49,5,2024-04-28 11:21:00,search,13,Profile
50,5,2024-04-28 11:51:00,add_to_cart,13,Search
51,5,2024-03-03 14:30:00,app_visit,14,Notifications
52,5,2024-03-03 14:43:00,add_to_cart,14,Recommendations
53,5,2024-03-15 23:18:00,app_visit,15,Search
54,5,2024-03-15 23:13:00,signup,15,Profile
55,5,2024-03-15 23:48:00,onboarding_complete,15,Notifications
56,5,2024-03-15 23:05:00,search,15,Recommendations
57,5,2024-04-20 07:44:00,app_visit,16,Recommendations
58,5,2024-04-20 07:45:00,signup,16,Search
59,5,2024-04-20 08:30:00,onboarding_complete,16,Notifications
60,5,2024-04-20 08:16:00,search,16,Notifications
61,6,2025-02-23 20:20:00,app_visit,17,Notifications
62,6,2025-02-23 20:50:00,signup,17,Checkout
63,6,2025-02-23 20:46:00,purchase,17,Notifications
64,6,2025-02-23 20:36:00,repeat_purchase,17,Checkout
65,7,2025-04-29 02:56:00,app_visit,18,Recommendations
66,7,2025-04-29 02:53:00,add_to_cart,18,Search
67,7,2025-07-11 23:46:00,app_visit,19,Search
68,7,2025-07-12 00:18:00,add_to_cart,19,Checkout
69,7,2025-06-11 04:50:00,app_visit,20,Profile
70,7,2025-06-11 05:14:00,signup,20,Recommendations
71,7,2025-06-11 04:53:00,search,20,Notifications
72,7,2025-06-11 04:50:00,add_to_cart,20,Notifications
73,8,2025-08-03 02:39:00,app_visit,21,Recommendations
74,8,2025-08-03 02:15:00,signup,21,Search
75,8,2025-08-03 02:21:00,onboarding_complete,21,Checkout
76,8,2025-08-03 02:31:00,search,21,Notifications
77,8,2025-08-03 02:23:00,add_to_cart,21,Checkout
78,8,2025-06-02 04:21:00,app_visit,22,Checkout
79,8,2025-06-02 04:09:00,search,22,Profile
80,8,2025-06-02 04:33:00,add_to_cart,22,Recommendations
81,8,2025-06-02 04:06:00,purchase,22,Profile
82,8,2025-06-02 04:17:00,repeat_purchase,22,Notifications
83,8,2025-08-18 00:10:00,app_visit,23,Notifications
84,8,2025-08-18 00:11:00,purchase,23,Recommendations
85,8,2025-07-21 17:43:00,app_visit,24,Notifications
86,8,2025-07-21 17:11:00,signup,24,Recommendations
87,8,2025-07-21 17:05:00,onboarding_complete,24,Notifications
88,8,2025-07-21 17:18:00,search,24,Checkout
89,9,2024-09-02 09:27:00,app_visit,25,Profile
90,9,2024-09-02 09:29:00,search,25,Notifications
91,9,2024-06-27 21:13:00,app_visit,26,Checkout
92,9,2024-06-27 20:43:00,signup,26,Recommendations
93,9,2024-06-27 20:54:00,search,26,Search
94,9,2024-06-27 20:58:00,add_to_cart,26,Recommendations
95,9,2024-08-24 19:29:00,app_visit,27,Profile
96,9,2024-10-10 20:58:00,app_visit,28,Profile
97,9,2024-10-10 20:55:00,signup,28,Profile
98,9,2024-10-10 21:19:00,onboarding_complete,28,Search
99,9,2024-10-10 20:22:00,search,28,Profile
100,9,2024-09-29 14:44:00,app_visit,29,Search
101,9,2024-09-29 14:57:00,search,29,Recommendations
102,9,2024-09-01 18:43:00,app_visit,30,Notifications
103,9,2024-09-01 18:03:00,signup,30,Recommendations
104,9,2024-09-01 18:48:00,onboarding_complete,30,Checkout
105,9,2024-09-01 19:00:00,search,30,Recommendations
106,9,2024-08-26 03:30:00,app_visit,31,Profile
107,9,2024-08-26 03:23:00,signup,31,Search
108,9,2024-08-26 03:02:00,onboarding_complete,31,Notifications
109,9,2024-08-26 02:58:00,search,31,Notifications
110,9,2024-08-26 03:44:00,add_to_cart,31,Notifications
111,10,2024-12-09 01:23:00,app_visit,32,Checkout
112,10,2024-12-27 12:03:00,app_visit,33,Notifications
113,10,2024-12-27 12:11:00,signup,33,Recommendations
114,10,2024-12-27 11:35:00,onboarding_complete,33,Checkout
115,10,2024-12-27 12:15:00,search,33,Search
116,10,2024-12-27 11:56:00,purchase,33,Search
117,11,2025-03-05 22:59:00,app_visit,34,Notifications
118,11,2025-03-05 22:35:00,signup,34,Notifications
119,11,2025-03-05 23:21:00,search,34,Search
120,12,2024-04-07 09:10:00,app_visit,35,Search
121,12,2024-04-07 09:37:00,signup,35,Checkout
122,12,2024-04-07 09:03:00,search,35,Checkout
123,12,2024-04-07 08:58:00,add_to_cart,35,Recommendations
124,12,2024-04-27 08:21:00,app_visit,36,Profile
